rank,secret_word,word,clue,connection_strength
122,color,indigo,"Super close, sizzling hot",strong
123,color,lightness,I am the opposite of heaviness,strong
124,color,deco,I can be used in design,medium
125,color,tone,I can affect the mood here,medium
126,color,timbre,I am related to sound quality,medium
127,color,gold,I am a precious metal hue,medium
128,color,blood,I am not related to this,weak
129,color,duotone,"Super close, sizzling hot",strong
130,color,tinctorially,I am not part of this dyeing process,weak
131,color,pretty,I can be used to describe beauty,medium
132,color,mauve,"Super close, sizzling hot",strong
133,color,bicolored,"Super close, sizzling hot",strong
134,color,vibrant,I am full of life and energy,medium
135,color,pallette,"Super close, sizzling hot",strong
136,color,bright,I am full of light and shine,medium
137,color,monochromat,"Super close, sizzling hot",strong
138,color,fuchsia,"Super close, sizzling hot",strong
139,color,ocher,I am a natural earthy pigment,medium
140,color,monochromatic,"Super close, sizzling hot",strong
141,color,climate,I can be affected by environment,medium
142,color,aqua,I am a watery blue-green shade,medium
143,color,shading,I can add depth and dimension,medium
144,color,bluish,I have a hint of blue here,medium
145,color,beautiful,I can be described as lovely,medium
146,color,image,I can be seen in pictures,medium
147,color,painty,I am related to artistic creations,medium
148,color,music,I am not directly related to this,weak
149,color,choice,I can be selected from options,medium
150,color,code,I can be represented by symbols,medium
151,color,glow,I can emit a soft light,medium
152,color,pigmented,"Super close, sizzling hot",strong
153,color,hair,I can be dyed this,medium
154,color,flavor,I have nothing to do with this,weak
155,color,decorate,I bring life to this,strong
156,color,chromophore,I am the essence of this,strong
157,color,highlighting,I make this stand out,strong
158,color,fluorochrome,I glow differently from this,strong
159,color,monochrome,I lack variety like this,strong
160,color,ochre,I am a shade of this,strong
161,color,photo,I can be captured in this,medium
162,color,bloom,I can have a similar hue,medium
163,color,crayon,I am used to create this,strong
164,color,monochromatically,I am linked to shades like this,strong
165,color,pastelist,I am reminiscent of this art,medium
166,color,colorado,I am named like this place,medium
167,color,cyan,I am a different shade from this,strong
168,color,purpure,I am a hue similar to this,medium
169,color,bunter,I can be used to print this,strong
170,color,complexion,I can alter skin's appearance,strong
171,color,pinkness,"Super close, sizzling hot",strong
172,color,vividness,"Super close, sizzling hot",strong
173,color,coly,"Super close, sizzling hot",strong
174,color,bicolor,"Super close, sizzling hot",strong
175,color,palette,"Super close, sizzling hot",strong
176,color,cool,I am associated with this feeling,strong
177,color,chemical,I can alter substances like this,strong
178,color,art,I am expressed through this,strong
179,color,colorimetric,I am measured using this method,strong
180,color,tinting,"Super close, sizzling hot",strong
181,color,decolorize,"Super close, sizzling hot",strong
182,color,creative,I inspire artistic expression like this,strong
183,color,noncolorfast,"Super close, sizzling hot",strong
184,color,decoloring,"Super close, sizzling hot",strong
185,color,vibrantly,"Super close, sizzling hot",strong
186,color,character,I add personality like this trait,strong
187,color,flower,"Super close, sizzling hot",strong
188,color,emotion,I evoke feelings like this,strong
189,color,effect,I create a similar impact,medium
190,color,coat,I cover surfaces like this,medium
191,color,teal,I am a mix of blue-green,strong
192,color,crimson,I am a deep red like this,strong
193,color,mix,"Super close, sizzling hot",strong
194,color,polychromed,"Super close, sizzling hot",strong
195,color,humor,I can lighten moods like this,strong
196,color,monochromic,I lack variety like this,strong
197,color,tinted,"Super close, sizzling hot",strong
198,color,blackish,I have a dark hue like this,strong
199,color,quality,I can enhance this aspect,medium
200,color,dyeing,"Super close, sizzling hot",strong
201,color,blend,"Super close, sizzling hot",strong
202,color,chiaroscuro,I have nothing to do with this,weak
203,color,control,I am used to manipulate this,strong
204,color,clear,I am transparent unlike this,strong
205,color,coral,I am a different texture than this,medium
206,color,shape,"Super close, sizzling hot",strong
207,color,purpler,I am darker than this shade,medium
208,color,creasing,I can be seen on this,weak
209,color,dim,I can make this appear darker,medium
210,color,dimension,I add depth to this concept,medium
211,color,pigmenting,I am used to create this,strong
212,color,ink,I am a liquid like this,strong
213,color,drawing,I am used to create this art,strong
214,color,time,I can change the perception of this,strong
215,color,purply,I am a darker shade than this,medium
216,color,film,I can be seen on this,weak
217,color,size,I can affect the perception of this,medium
218,color,stylize,I can be used to enhance this,medium
219,color,composition,I can be part of this,medium
220,color,darkish,I am darker than this,medium
221,color,cut,I can change the appearance of this,medium
222,color,tonal,"Super close, sizzling hot",strong
223,color,purplest,I am not as purple as this,medium
224,color,cope,I can help deal with this,medium
225,color,greenishblue,"Super close, sizzling hot",strong
226,color,culture,I am influenced by this,medium
227,color,paintwork,I can be applied to this,strong
228,color,variation,I can create diversity in this,strong
229,color,purplish,"Super close, sizzling hot",strong
230,color,sepia,I can be used to create this tone,medium
231,color,fun,I can enhance the experience of this,medium
232,color,pinker,I am not as pink as this,medium
233,color,brownish,I am not as brown as this,medium
234,color,highting,I have nothing to do with this,weak
235,color,beige,I am a different neutral than this,medium
236,color,dyestuff,"Super close, sizzling hot",strong
237,color,flair,I can add style to this,medium
238,color,colorism,I am related to this concept,strong
239,color,energy,I can influence the vibe of this,medium
240,color,opacity,I can be transparent or opaque,strong
241,color,anthocyan,I am a type of pigment,strong
242,color,colorblindness,I am not perceived by this,medium
243,color,comic,I can be used in this genre,medium
244,color,difference,I can distinguish between this and that,strong
245,color,stain,"Super close, sizzling hot",strong
246,color,bluer,I am not as blue as this,medium
247,color,pinkish,I am not as pink as this,medium
248,color,resolution,I can affect the clarity of this,medium
249,color,pigmentary,I am related to the creation of this,strong
250,color,puce,I am a different shade than this,medium
251,color,lighting,I can influence the brightness of this,medium
252,color,chemistry,I have nothing to do with this,weak
253,color,blueness,I am the essence of this,strong
254,color,chromoplast,I contain pigments like this,strong
255,color,pale,I am lighter than this,strong
256,color,brighten,I can make things like this,medium
257,color,coffee,I am not related to this,weak
258,color,grayout,I can be a lighter version,medium
259,color,darker,I am not as dark as this,medium
260,color,brightly,I can shine like this,medium
261,color,rouge,I am not red like this,medium
262,color,monochromatism,I am not single-toned like this,medium
263,color,decolouring,"Super close, sizzling hot",strong
264,color,turquoise,I am a different shade from this,medium
265,color,flashy,I am not as attention-grabbing as this,medium
266,color,blued,I am not tinted like this,strong
267,color,bunt,I am not related to this,weak
268,color,choose,I am not a decision like this,weak
269,color,white,I can be combined with this,medium
270,color,chromogenic,I am not related to this,weak
271,color,emphasis,I can highlight things like this,medium
272,color,urochrome,I am not a component of this,weak
273,color,dichromatism,I am not double-toned like this,medium
274,color,food,I am not edible like this,weak
275,color,text,I can be written in this,medium
276,color,cost,I am not a price like this,weak
277,color,grayer,I am not as gray as this,medium
278,color,dayglow,I am not as vibrant as this,medium
279,color,shade,I am a variation of this,medium
280,color,spectrum,I am a part of this,strong
281,color,tractive,I can attract attention like this,medium
282,color,firepink,I am not as fiery as this,medium
283,color,pixel,I can be displayed in this,medium
284,color,outpaint,I am not related to this,weak
285,color,matte,I am a finish unlike this,medium
286,color,chromatophore,I contain pigment cells like this,strong
287,color,glitter,I can sparkle like this,medium
288,color,chartreuse,"Super close, sizzling hot",strong
289,color,shiny,I have a glossy finish like this,medium
290,color,collection,I can be part of this,medium
291,color,customize,I can be personalized like this,medium
292,color,appearance,I can change how things look,medium
293,color,purpled,I am not tinted like this,strong
294,color,staining,"Super close, sizzling hot",strong
295,color,darken,I can make things like this,medium
296,color,detail,I can add intricacy like this,medium
297,color,accent,I can enhance features like this,medium
298,color,selection,I can be part of this,medium
299,color,visible,I can be seen like this,medium
300,color,noise,I am not a sound like this,weak
301,color,draw,I can be used for art,medium
302,color,sparkle,I add shine to this,strong
303,color,colone,I have nothing to do with this,weak
304,color,format,I enhance the look of this,medium
305,color,combo,I mix well with this,strong
306,color,content,"Super close, sizzling hot",strong
307,color,pizazz,I bring flair to this,strong
308,color,racial,I have nothing to do with this,weak
309,color,column,I stand tall like this,medium
310,color,cyanin,I share a hue with this,strong
311,color,tricolored,"Super close, sizzling hot",strong
312,color,grayness,I am a lighter shade than this,strong
313,color,artwork,I am part of this creation,strong
314,color,bluet,I am a different shade than this,strong
315,color,drab,I am more vibrant than this,strong
316,color,monotint,"Super close, sizzling hot",strong
317,color,styling,I enhance the appearance of this,medium
318,color,ochred,I have a different hue than this,strong
319,color,toning,"Super close, sizzling hot",strong
320,color,trichromatism,"Super close, sizzling hot",strong
321,color,pattern,I can be part of this design,strong
322,color,tinged,"Super close, sizzling hot",strong
323,color,blush,I can be a lighter version of this,strong
324,color,mood,I can influence the feel of this,medium
325,color,greyness,I am a lighter shade than this,strong
326,color,painted,I am applied to surfaces like this,medium
327,color,tristimulus,I involve fewer stimuli than this,strong
328,color,cation,I have nothing to do with this,weak
329,color,flow,I can be smooth like this,medium
330,color,picture,I can be a part of this,strong
331,color,chromogen,"Super close, sizzling hot",strong
332,color,value,I determine the lightness of this,strong
333,color,titian,I am a different shade than this,strong
334,color,nuance,I add subtlety to this,strong
335,color,aroma,I am not related to smells,weak
336,color,achromatic,"Super close, sizzling hot",strong
337,color,cyanine,I share a hue with this,strong
338,color,nongreen,I am not a shade of green,strong
339,color,language,I have nothing to do with this,weak
340,color,artist,I can be used by this profession,medium
341,color,colly,I have nothing to do with this,weak
342,color,dichromatic,"Super close, sizzling hot",strong
343,color,greeny,I am a different shade than this,strong
344,color,coolth,I can convey a sense of temperature,medium
345,color,coded,I am not a secret message,weak
346,color,purpling,I can add a purple hue,strong
347,color,comparison,I am not a way of judging,weak
348,color,air,I have nothing to do with this,weak
349,color,fluoresce,I can emit light like this,medium
350,color,colin,I have nothing to do with this,weak
351,color,dyeability,"Super close, sizzling hot",strong
352,color,fade,I have nothing to do with this,weak
353,color,heat,I intensify with this element,strong
354,color,benday,I am not used in this technique,weak
355,color,gradient,I transition smoothly like this,strong
356,color,neutral,I complement this balanced shade,medium
357,color,highlighter,I am not as vibrant as this,medium
358,color,reddish,"Super close, sizzling hot",strong
359,color,darkening,I become deeper like this process,medium
360,color,burgundy,I am a shade similar to this,medium
361,color,bichrome,"Super close, sizzling hot",strong
362,color,rhodamin,I have nothing to do with this,weak
363,color,lection,I am not related to this term,weak
364,color,reflection,I mirror objects like this phenomenon,strong
365,color,silver,I am not as shiny as this,medium
366,color,water,I am not a liquid like this,medium
367,color,odored,I have nothing to do with this,weak
368,color,monochromaticity,I consist of multiple hues,weak
369,color,chrome,I am not metallic like this,medium
370,color,collage,I am not a collection like this,medium
371,color,behavior,I do not have actions like this,medium
372,color,graphic,I can be visual like this,medium
373,color,beauty,I can enhance this quality,medium
374,color,redness,"Super close, sizzling hot",strong
375,color,colorimeter,I am not a measuring device,medium
376,color,cole,I have nothing to do with this,weak
377,color,dyable,"Super close, sizzling hot",strong
378,color,viridian,I am not a green like this,medium
379,color,ropy,I am not as textured as this,medium
380,color,changing,I can vary like this process,medium
381,color,stime,I have nothing to do with this,weak
382,color,crayoning,I am not used in this technique,weak
383,color,animation,I do not move like this,medium
384,color,lightish,I am lighter than this shade,medium
385,color,fight,I have nothing to do with this,weak
386,color,lowlight,I contrast with this dimness,medium
387,color,camouflage,I blend in like this disguise,strong
388,color,marron,I am not a shade of this,medium
389,color,bluishness,"Super close, sizzling hot",strong
390,color,context,I am not influenced by this,weak
391,color,spectra,I am not a range like this,weak
392,color,visually,I can be perceived like this,medium
393,color,aura,I emit a vibe like this,medium
394,color,flavory,I am not a taste like this,weak
395,color,cerulean,I am not a blue like this,medium
396,color,density,I am not as concentrated as this,medium
397,color,video,I am not a recording like this,medium
398,color,subtone,I am not a secondary tone,medium
399,color,tical,I have nothing to do with this,weak
400,color,cause,I am not a reason like this,medium
401,color,cold,I contrast with this temperature,medium
402,color,colorfastness,I am crucial for this quality,strong
403,color,coolness,I am not as chill as this,medium
404,color,cover,I hide what is beneath me,strong
405,color,imagery,I can enhance visual representation,medium
406,color,aquarelle,"Super close, sizzling hot",strong
407,color,omber,I have nothing to do with this,weak
408,color,variety,I come in different shades,strong
409,color,collect,I am not about gathering things,weak
410,color,power,I can influence emotions and moods,medium
411,color,fabric,I can be dyed into this,medium
412,color,coupon,I have nothing to do with this,weak
413,color,highlighted,I make certain areas stand out,strong
414,color,hazel,"Super close, sizzling hot",strong
415,color,noir,I am not dark and mysterious,weak
416,color,look,I can change the appearance of this,medium
417,color,carmine,I am a vibrant red shade,strong
418,color,cologne,I am not a fragrance,weak
419,color,paintiest,I am not the most painterly,weak
420,color,comment,I can provoke opinions and thoughts,medium
421,color,maroon,"Super close, sizzling hot",strong
422,color,pazazz,I add flair and excitement,medium
423,color,stylizing,I can influence artistic choices,medium
424,color,hue,"Super close, sizzling hot",strong
425,color,toned,"Super close, sizzling hot",strong
426,color,ecru,"Super close, sizzling hot",strong
427,color,vivider,I am not as vivid as this,medium
428,color,luster,I can add shine and sheen,medium
429,color,skyblue,I am a specific shade of blue,strong
430,color,lavender,"Super close, sizzling hot",strong
431,color,orangey,I have hints of orange hue,strong
432,color,fill,"Super close, sizzling hot",strong
433,color,greenish,I have a touch of green,strong
434,color,lighten,"Super close, sizzling hot",strong
435,color,pop,"Super close, sizzling hot",strong
436,color,decolorization,"Super close, sizzling hot",strong
437,color,paintier,I am not the most painterly,weak
438,color,pinkishness,I have a hint of pink,strong
439,color,florescent,I am not glowing or emitting light,weak
440,color,sexy,I am not about allure and appeal,weak
441,color,neon,"Super close, sizzling hot",strong
442,color,width,I am not about measurement or size,weak
443,color,achromic,"Super close, sizzling hot",strong
444,color,rightness,I am not about correctness or accuracy,weak
445,color,feel,I evoke emotions through visual impact,medium
446,color,pastellist,I am not an artist of pastels,weak
447,color,custom,I can be tailored to preferences,strong
448,color,monochromist,I am not an artist of monochromes,weak
449,color,decoration,I can enhance aesthetics and beauty,medium
450,color,achromatically,"Super close, sizzling hot",strong
451,color,vividly,I am full of life and intensity,strong
452,color,photically,I have nothing to do with this,weak
453,color,tinter,"Super close, sizzling hot",strong
454,color,colessor,I have nothing to do with this,weak
455,color,option,I can be part of a palette,medium
456,color,timbral,"I affect how things sound, not look",medium
457,color,complexioned,I come in many more variations,medium
458,color,money,"Super close, sizzling hot",strong
459,color,chlorophyll,I am not related to photosynthesis,medium
460,color,melanoid,I am not related to skin pigmentation,medium
461,color,stylizer,I am not a fashion statement,medium
462,color,temperature,"Super close, sizzling hot",strong
463,color,function,I am not a mathematical concept,medium
464,color,pinkly,I can be a shade of me,medium
465,color,pleochroic,I am not a property of minerals,medium
466,color,right,I can be a direction or correctness,medium
467,color,phasis,I have nothing to do with this,weak
468,color,theme,"Super close, sizzling hot",strong
469,color,counterstain,"Super close, sizzling hot",strong
470,color,cholate,I have nothing to do with this,weak
471,color,caption,I can be used to describe me,medium
472,color,sheen,I can have a glossy appearance,medium
473,color,bruin,"Super close, sizzling hot",strong
474,color,rood,I am an old term for me,strong
475,color,pinta,I am not a ship or island,medium
476,color,grayish,I can be a variation of me,medium
477,color,lustre,I can have a shiny quality,medium
478,color,toner,I can be used to adjust me,medium
479,color,rainbow,"Super close, sizzling hot",strong
480,color,mode,"Super close, sizzling hot",strong
481,color,calo,I have nothing to do with this,weak
482,color,sound,"I am not heard, but seen",medium
483,color,vision,"I am seen, not a sense",medium
484,color,fiction,I am not a literary genre,medium
485,color,painterliness,I am not a painting style,medium
486,color,graying,I can be a sign of aging,medium
487,color,medium,I can be a shade or tool,medium
488,color,backlight,I can enhance my appearance,medium
489,color,achromatism,"Super close, sizzling hot",strong
490,color,plash,I have nothing to do with this,weak
491,color,beaut,I am a short form of beauty,medium
492,color,photochromism,I am not related to light sensitivity,medium
493,color,shimmer,I can have a sparkling effect,medium
494,color,flowerful,I am not a botanical term,medium
495,color,flavour,I am not a taste sensation,medium
496,color,greige,I can be a neutral tone,medium
497,color,blueing,I am not a laundry term,medium
498,color,love,I can be associated with emotions,medium
499,color,variegate,I can have diverse patterns like this,medium
500,color,trichromatic,I am not a vision condition,medium
501,color,blur,I can be a visual effect,medium
502,color,changer,I can alter this in appearance,strong
503,color,orangish,I have a hue similar to this,strong
504,color,taste,I have no flavor like this,weak
505,color,melanin,I lack pigmentation like this,strong
506,color,contour,"Super close, sizzling hot",strong
507,color,fancy,I am not extravagant like this,medium
508,color,tonally,I am not related to sound,strong
509,color,pleochroism,I do not exhibit this property,strong
510,color,cion,I am not a marine animal,strong
511,color,edit,I cannot modify text like this,strong
512,color,bepaint,"Super close, sizzling hot",strong
513,color,tempera,I am not a painting technique,strong
514,color,motion,I am not about movement,strong
515,color,pinkey,I am not a pink hue,strong
516,color,anthocyanin,I lack pigmentation like this,strong
517,color,coverage,"Super close, sizzling hot",strong
518,color,font,"Super close, sizzling hot",strong
519,color,novation,I am not an innovation,strong
520,color,yellowish,I am not a yellow hue,strong
521,color,garish,I am not gaudy like this,strong
522,color,fluorescent,I do not glow like this,strong
523,color,luce,I am not light like this,strong
524,color,crayonist,"Super close, sizzling hot",strong
525,color,decorating,"Super close, sizzling hot",strong
526,color,camera,I am not a photography tool,strong
527,color,achromat,"Super close, sizzling hot",strong
528,color,ology,I am not a study field,strong
529,color,pol,I have nothing to do with this,strong
530,color,greyish,I am not a gray hue,strong
531,color,brightening,"Super close, sizzling hot",strong
532,color,anime,I am not a Japanese animation,strong
533,color,mottle,"Super close, sizzling hot",strong
534,color,iridescent,I do not shimmer like this,strong
535,color,center,I am not a focal point,strong
536,color,heterochromatic,"Super close, sizzling hot",strong
537,color,harmony,"Super close, sizzling hot",strong
538,color,khaki,I am not a light brown shade,strong
539,color,halftone,I am not a printing technique,strong
540,color,cloth,"Super close, sizzling hot",strong
541,color,ochry,I am not a yellow-brown hue,strong
542,color,voice,I have no sound like this,weak
543,color,patina,"Super close, sizzling hot",strong
544,color,stuff,I am not a general term,strong
545,color,odor,I have no scent like this,weak
546,color,fluor,I am not a fluorescent mineral,strong
547,color,data,I am not information,strong
548,color,info,I am not data,strong
549,color,razzmatazz,I am not flamboyant like this,strong
550,color,painterly,"Super close, sizzling hot",strong
551,color,licht,I am not light in German,strong
552,color,environment,"Super close, sizzling hot",strong
553,color,brilliance,My brightness compared to this is,medium
554,color,pallor,My hue is opposite of this,strong
555,color,brushwork,Used to create art with me,strong
556,color,concept,I have no relation to this,weak
557,color,dyeable,I can change unlike this,strong
558,color,rubigo,I have nothing in common with,weak
559,color,wallpaper,"Used for decorating walls, not me",strong
560,color,watercolorist,Artists use me differently from this,strong
561,color,palish,Similar to me but more pale,medium
562,color,gallery,"Super close, sizzling hot",strong
563,color,decolorized,Opposite of what happens to me,strong
564,color,focus,"Super close, sizzling hot",strong
565,color,dazzle,I shine but differently from this,medium
566,color,gradation,"Super close, sizzling hot",strong
567,color,splash,I can be part of a this,medium
568,color,coding,"Super close, sizzling hot",strong
569,color,natural,I can mimic this at times,medium
570,color,tonality,"Related to music, not to me",weak
571,color,colon,"No relation to me, different meaning",weak
572,color,tintless,"I always have hue, unlike this",strong
573,color,direction,"Super close, sizzling hot",strong
574,color,gloss,Shine differently than I do,medium
575,color,undertone,"Super close, sizzling hot",strong
576,color,eeriness,"Super close, sizzling hot",strong
577,color,darkened,Opposite of how I appear,strong
578,color,shaded,Similar to me but less vibrant,medium
579,color,repaint,Process that can change my appearance,strong
580,color,touchup,"Super close, sizzling hot",strong
581,color,valor,"Super close, sizzling hot",strong
582,color,reflect,"I can be seen in mirrors, not this",medium
583,color,mixed,"Super close, sizzling hot",strong
584,color,volume,"Super close, sizzling hot",strong
585,color,oil,Medium used in art but not me,medium
586,color,chromatography,"Super close, sizzling hot",strong
587,color,quantity,"Super close, sizzling hot",strong
588,color,illusion,"Super close, sizzling hot",strong
589,color,cell,"Super close, sizzling hot",strong
590,color,lilac,Similar hue but not me exactly,medium
591,color,cooer,"Super close, sizzling hot",strong
592,color,decolorizer,"Super close, sizzling hot",strong
593,color,greenery,I can be found in this,medium
594,color,bloodred,"Super close, sizzling hot",strong
595,color,prink,"No relation to me, different meaning",weak
596,color,curve,"Super close, sizzling hot",strong
597,color,pixiness,"Super close, sizzling hot",strong
598,color,fashion,"Super close, sizzling hot",strong
599,color,nature,I can be found in this,medium
600,color,combat,"Super close, sizzling hot",strong
601,color,dynamic,"Super close, sizzling hot",strong
602,color,coled,I have nothing to do with this,weak
603,color,artsy,I inspire creativity like this,strong
604,color,divisionism,I am not related to this technique,weak
605,color,vary,I can come in many shades like this,strong
606,color,different,I stand out for being unique,strong
607,color,decolorizing,"Super close, sizzling hot",strong
608,color,core,I am the essence like this,strong
609,color,roux,I am not used in cooking roux,weak
610,color,painter,I can be used by a painter,medium
611,color,clean,I make things look fresh like this,medium
612,color,blues,I am not feeling sad like this,weak
613,color,illumination,I bring light like this,strong
614,color,wear,I can fade with wear like this,medium
615,color,kaleidoscope,I create patterns like this toy,strong
616,color,filter,I am not used in photography filters,weak
617,color,coco,I am not related to this plant,weak
618,color,chromolithography,"Super close, sizzling hot",strong
619,color,vermilion,I am not as bright as vermilion,medium
620,color,contrasting,I can create contrast like this,strong
621,color,bepainted,I can be painted like this,medium
622,color,trichromat,"Super close, sizzling hot",strong
623,color,decision,I am not involved in decision-making,weak
624,color,greegree,I am not related to greegree charms,weak
625,color,cerise,I am not as red as cerise,medium
626,color,bepainting,I can be the result of painting,medium
627,color,tincted,I am tinted differently than this,medium
628,color,flatwash,I am not a technique like flatwash,weak
629,color,display,I can be displayed like this,medium
630,color,tinct,I can tint objects like this,medium
631,color,foreground,I can be in the foreground,medium
632,color,olive,I am not as green as olive,medium
633,color,blackandwhite,I am not black and white,medium
634,color,paper,I can be used on paper,medium
635,color,visualizer,I can help visualize concepts like this,strong
636,color,condition,I am not a state or condition,weak
637,color,coder,I am not a programmer like this,weak
638,color,blackness,I am not just blackness,medium
639,color,bluest,"Super close, sizzling hot",strong
640,color,whatever,I am not just anything like this,weak
641,color,dichroism,I do not exhibit dichroism,weak
642,color,faded,I can fade like this over time,medium
643,color,caramel,I am not as sweet as caramel,medium
644,color,greyed,I may become greyed with age,medium
645,color,flavine,I am not as yellow as flavine,medium
646,color,darkey,I am not as dark as darkey,medium
647,color,ultramarine,I am not as blue as ultramarine,medium
648,color,body,"Super close, sizzling hot",strong
649,color,sterol,I am not related to sterols,weak
650,color,gree,I am not related to Greek culture,weak
651,color,transparent,I can be transparent like this,medium
652,color,pinkest,I am less pink than this shade,weak
653,color,countdown,I have nothing to do with this,strong
654,color,movement,I flow differently from this action,medium
655,color,chic,I am not as stylish as this,weak
656,color,photochromic,I do not change like this,strong
657,color,cooked,I am not edible like this,weak
658,color,dyer,"Super close, sizzling hot",strong
659,color,car,I am not a vehicle like this,strong
660,color,number,I am not counted like this,strong
661,color,feature,I do not have characteristics like this,strong
662,color,phot,I am not captured like this,strong
663,color,visualization,I have nothing to do with this,strong
664,color,ornament,I am not decorative like this,weak
665,color,oxid,I do not react like this,strong
666,color,cite,I am not referenced like this,weak
667,color,blondish,I am not as blonde as this,weak
668,color,carotin,I do not have nutrients like this,strong
669,color,cling,I do not stick like this,medium
670,color,currency,I am not money like this,weak
671,color,tune,I do not sound like this melody,medium
